SERIALNO|ID|BILLOFENTRYNUMBER|BILLOFENTRYDATE|IECODE|IENAME|ADCODE|PORTOFDISCHARGE|IMPORTAGENCY|STATUS|EXTENSIONBY|EXTENSIONDATE|LETTERNUMBER|LETTERDATE
1|ff8081816f139566016f13b114a3231c|1002031|13/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
2|ff8081816f139566016f13b114b227e4|1001839|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
3|ff8081816f139566016f13b114b227e6|1001838|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
4|ff8081816f139566016f13b114c22cfc|2024818|29/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
5|ff8081816f139566016f13b114c22d0a|1004206|23/10/2019|3714002243|SHREE RAM EXPORTS|0250117|INSTV6|2|PENDING_PAYMENT||||
6|ff8081816f139566016f13b114a5238b|1012165|20/08/2019|3713001880|HINDUSTAN OILS INDUSTRIES|0250579|INKDL6|2|PENDING_PAYMENT||||
7|ff8081816f139566016f13b114ac25d9|1001996|09/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
8|ff8081816f139566016f13b114bb2aba|2022967|05/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
9|ff8081816f139566016f13b114a52397|1001976|05/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
10|ff8081816f139566016f13b114b42875|1002604|18/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
11|ff8081816f139566016f13b114bb2aea|1003602|23/09/2019|3714002243|SHREE RAM EXPORTS|0250117|INSTV6|2|PENDING_PAYMENT||||
12|ff8081816f139566016f13b114a523c3|1001761|09/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
13|ff8081816f139566016f13b114a523c7|1001735|07/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
14|ff8081816f139566016f13b114b42889|2010939|20/11/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
