Serial No|ID|outwardReferenceNumber|ADCode|Amount|currencyCode|paymentDate|IECode|IEName|IEAddress|IEPANNumber|isCapitalGoods|beneficiaryName|beneficiaryAccountNumber|beneficiaryCountry|SWIFT|purposeCode|Remarks|PaymentTerms|billRefNo|BRANCHID|Process Status|Added Date|Error Codes|Error Description|UD1|UD2|UD3|UD4|UD5|UD6
1|ff80818169a590ec0169a5a5d5760008|0050IMTT0006518|0200050|2970.5|USD|21/05/2018|0602000505|PRAMOD TELECOM P LTD|PLOT NO 6 B MALIVIYA NAGAR AISHBAGHLUCKNOW|AACCP3266E|N|TUNGHINGELECTRICWIRECOMPANY||HK|BARBUS33XXX|S0101||1|0050IMTT0006518|0050|FAILED|22-Mar-2019|IX_BOE_035-Duplicate ORM Number DB|||||||
2|ff80818169b892dd0169b8ba290c000f|0050IMTT0006518|0200050|2970.5|USD|21/05/2018|0602000505|PRAMOD TELECOM P LTD|PLOT NO 6 B MALIVIYA NAGAR AISHBAGHLUCKNOW|AACCP3266E|N|TUNGHINGELECTRICWIRECOMPANY||HK|BARBUS33XXX|S0101||1|0050IMTT0006518|0050|FAILED|26-Mar-2019|IX_BOE_035-Duplicate ORM Number DB|||||||
